Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Area Business Manager,"Noida, Uttar Pradesh",Full Time,Retail & B2C Sales Department,6 Feb 2023,4.0,3.0,5.0,4.0,4.0,4.0,4.0,Overall a good company to work.,Sometime lack of Wok life balance
Rso,"New Delhi, Delhi",Full Time,Enterprise & B2B Sales Department,8 Nov 2022,5.0,5.0,5.0,5.0,4.0,5.0,4.0,Very good Organization 👍 Supportive Senior management 👏,Nothing
Area Service Manager,"Shahdol, Madhya Pradesh",Full Time,After Sales Service & Repair Department,0 Jan 2023,5.0,5.0,5.0,3.0,4.0,4.0,3.0,My working day the best time,No sallery sufficient
Computer Operator,Noida,Full Time,Computer Operating Department,5 Dec 2022,4.0,5.0,5.0,5.0,5.0,5.0,5.0,This company is really beast company,Not any reason dislike this company
Manager - Crm,Gurgaon/Gurugram,Full Time,CRM Department,6 Mar 2023,4.0,5.0,2.0,4.0,4.0,3.0,1.0,Work life balance,Career growth
Area Business Manager,"Nagpur, Maharashtra",,BD / Pre Sales Department,4 Nov 2022,4.0,3.0,4.0,5.0,4.0,4.0,3.0,"Company is pay master. There is pressure for work, its all about how u take it.",Work pressure and pore worm life balance.
Assistant Manager,Chennai,Full Time,"Operations, Maintenance & Support Department",2 Feb 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Really it's wonderful opportunity,Salary hike is better
"Process Supervisor,FAE,NPI,R","Noida, Uttar Pradesh Sector 85",Full Time,Production Department,6 Apr 2023,5.0,5.0,4.0,5.0,1.0,3.0,3.0,Working culture is not good,"Free Food, Free transport, Good salary for freshers, Time to prepare for DSA for company's internal assessment tests.."
Software Engineer,"Noida, Uttar Pradesh",Full Time,Software Development Department,6 Sep 2022,3.0,4.0,1.0,4.0,1.0,2.0,2.0,"Work quality is very poor, There would be no learning at all. Pathetic management. Strict working hours..",I want a good start my career and explore my skills.
Forklift Operator,"Sunguvarchatram,kanchipuram",Part Time,Front Office Department,1 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,No work pressure
Store Manager And Accountant,"Vizianagaram, Andhra Pradesh",Full Time,Store manager and accountant  Department,6 Dec 2022,4.0,3.0,4.0,3.0,3.0,4.0,3.0,Not satisfaction with the salary,"Brand
Learning opportunity"
Chief Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,4 Mar 2023,5.0,4.0,3.0,3.0,3.0,3.0,3.0,"Groupism among seniors.
Bad politics",Only brand name.
Assistant Manager,"Noida, Uttar Pradesh",Contractual,Accounting & Taxation Department,5 Oct 2022,1.0,1.0,1.0,2.0,3.0,1.0,2.0,Poor work environment. Poor salary structure. No work life balance.,Work life balance
Associate,Gurgaon/Gurugram,Full Time,Procurement & Purchase Department,1 Apr 2023,3.0,5.0,2.0,3.0,1.0,3.0,3.0,No job security,Their policies were good
Get,"Sriperumbudur, Tamil Nadu",Full Time,Production & Manufacturing Department,0 Jan 2023,4.0,3.0,3.0,4.0,5.0,3.0,3.0,Work life balance,Good company to work
Production Supervisor,Chennai,,Production Department,2 Mar 2023,5.0,5.0,5.0,3.0,5.0,4.0,3.0,None,
Samsung Product Specialist,"Bhopal, Madhya Pradesh",Full Time,After Sales Service & Repair Department,6 Mar 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Team working & support,Nothing
General Manager,Sunguvarchatram,Full Time,Top Management Department,8 Feb 2023,1.0,2.0,1.0,4.0,2.0,1.0,1.0,"- Discipline: Timings.
- Challenging Environment.","- Working Culture : High Work Pressure.
- HQ & Expats Control."
SEC,"Gaya, Bihar",Full Time,After Sales Service & Repair Department,7 Mar 2023,4.0,4.0,4.0,3.0,3.0,3.0,3.0,OK OK,Nothing to much
Senior Customer Sales Executive,"Faridabad, Haryana",Full Time,,2 Dec 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Professional work  with a good attitude,Nothing is for deslike
Sales Promoter,NARASARAOPET,Full Time,Retail & B2C Sales Department,6 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NOTHING TO SAY BUT BEAUTIFUL COMPANY.,SALARY DEDUCTION OF NEW INSETIVE SCHEAM
Ecom Marketing Manager,Gurgaon,Full Time,Digital Marketing Department,3 Nov 2022,1.0,1.0,2.0,3.0,3.0,1.0,3.0,Nothing,"- absolutely Zero Work Life balance. There is a hard punchin time of 8:30 AM and on most of days you’ll end up sitting in office post 9 PM. Late sitting is glorified
- A vast majority of your time will be spent just in making PPTs or taking approvals. Hardly any learning takes place here
- They keep a review every monday morning andagenda for that would be discussed on Friday evening. So almost everytime u’ll spend ur entire weekends making ppts and attending calls to discuss those PPTs...Read More"
Senior Associate,Chennai,Full Time,Stores & Material Management Department,5 Jun 2023,5.0,5.0,3.0,5.0,5.0,5.0,2.0,Work culture,Promotion policy and appraissal
Senior Associate,Chennai,Full Time,Community Health & Safety Department,8 Feb 2023,5.0,3.0,5.0,5.0,5.0,5.0,3.0,Comfortable,More task limited time
PhD Intern,"Bangalore Rural, Karnataka",Intern,Engineering & Manufacturing Department,5 Apr 2023,4.0,5.0,5.0,5.0,2.0,5.0,5.0,"Smooth interview, on boarding and working culture.",Delayed PPO confirmation
Associate,Chennai,Full Time,Engineering & Manufacturing Department,9 Feb 2023,4.0,4.0,4.0,3.0,5.0,4.0,4.0,Team support,Salary could be better
Dealer Support Executive,"Varanasi, Uttar Pradesh",Full Time,Customer Service Department,0 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,3.0,"Team management , Environment",No any point for dislike
Operations Associate,"Gurgaon/Gurugram, Haryana",Full Time,,5 Dec 2022,5.0,5.0,3.0,5.0,4.0,4.0,3.0,"good for working, chances to learn new thing",seniors are not so supportive
Associate,"Chennai, Tamil Nadu",Full Time,Research & Development Department,8 Oct 2022,1.0,1.0,1.0,1.0,3.0,1.0,2.0,Some department are good work culture.,"R&D worst culture.
Working hours too much.
Poor work life balance"
Sales Excutive,"Srikakulam, Andhra Pradesh",Full Time,Sales Support & Operations Department,3 Sep 2022,5.0,5.0,5.0,2.0,1.0,4.0,1.0,Just it's ok to work,"Job security zero, promotion zero, 11 hours per day, salary is very low"
Back Office Executive,Goregaon West,Full Time,Customer Service Department,7 Jan 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"I like my work. And i really did my work with heart , to Samsung india,","No pf, no salary increment."
Sales Promoter,"Tirupati, Andhra Pradesh",Full Time,Retail & B2C Sales Department,3 Nov 2022,4.0,3.0,4.0,3.0,2.0,3.0,3.0,"Good right now...
But no security for job","No dislikes, company had standards...
It will gives always best."
Team Leader,"Bhubaneswar, Odisha",Full Time,Admin Department,8 Dec 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Samsung India is very good company i am proud of my company,No dislike
Production Lead,"Chennai, Tamil Nadu",,"Operations, Maintenance & Support Department",8 Nov 2022,3.0,3.0,4.0,4.0,4.0,4.0,3.0,Suprising gifts,Working to be structured for every shift timings
Customer Experience Executive,Gurgaon,,Sales Support & Operations Department,4 Oct 2022,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Working environment and work life is balanced,None of above
Area Service Manager,"Lucknow, Uttar Pradesh",,"Operations, Maintenance & Support Department",2 Aug 2022,4.0,3.0,5.0,5.0,4.0,4.0,3.0,"Company culture is good. Ethical, policy is same all bands.",Employees are not happy with company because of benefits are less and work pressures is 200%.
Associate,"Noida, Uttar Pradesh",Full Time,Production Department,4 Aug 2022,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Good in culture in company and all the managers and others are always help to him,Canteen food
Senior Executive,Rudrpur Uttarakhand,Full Time,After Sales Service & Repair Department,5 Jun 2023,1.0,3.0,1.0,1.0,3.0,1.0,1.0,Salary on time,No increment
Salesman,"Allahabad/Prayagraj, Uttar Pradesh",Full Time,After Sales Department,0 Dec 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes Samsung India electronics,No
Senior Sales Executive,Adajan,Full Time,BD / Pre Sales Department,0 Oct 2022,5.0,4.0,5.0,5.0,5.0,5.0,4.0,"Specially work culture. A place where i enjoyed my self during a work and thought me salesmanship i learned a lot like how to deal with each type of customer and situations from my Trainer, team Leader, store manager & my colleagues. I am always ready to work with big Prestigious Company like Samsung and people working there",Salary Hike
Assistant Manager,Gurgaon/Gurugram,Contractual,,9 Jun 2022,4.0,5.0,4.0,5.0,5.0,4.0,5.0,ERP and planning systems are very good. Good data capturing help employee to get good visibility of stocks,After initial syatem learning there is not much to value add. Work become monotonous after 1-2 years
Zonal Sellout Executive,"Ranchi, Jharkhand",Full Time,Retail & B2C Sales Department,3 Apr 2023,5.0,5.0,5.0,5.0,4.0,5.0,4.0,All employee are accessable with all their collegues at any point of time,Nothing
Assistant Manager,Noida,Full Time,Business Intelligence & Analytics Department,7 Oct 2022,3.0,3.0,1.0,2.0,5.0,2.0,2.0,Equality between employees and jobs security,No skill development u have to do it on your own
Apprentice,Noida,Full Time,Production & Manufacturing Department,2 Apr 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Production and quality,Nothing else
SENIOR ASSOCIATE - DEVELOPMENT ENGINEERING,"Chennai, Tamil Nadu",,Quality Assurance and Testing Department,0 Apr 2023,4.0,1.0,2.0,3.0,5.0,1.0,1.0,Facilities,No encourage only discourage (depending on the team)..
Department Manager,"Noida, Uttar Pradesh",,Procurement & Purchase Department,6 Nov 2022,4.0,5.0,5.0,5.0,5.0,4.0,5.0,Excellent work culture and Benefits,Nothing
Manager,Noida,Full Time,Procurement & Purchase Department,3 Jun 2022,4.0,5.0,5.0,3.0,5.0,4.0,3.0,"Good company to work in.
Job security good till you work with intigrity.
Work culture is totally professional.",Here settled seniors never like other to stay here more then 4 years..
Service Center Manager,"Gorakhpur, Uttar Pradesh",Full Time,After Sales Service & Repair Department,8 Apr 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"You spoiled your carrier,If you work as an offroll basis. There is no opportunity to get advantage of your time which you spent to serve samsung customer satisfation. Samsung need to think about your service centre partener employee.",Spoiling carrier to work with samsung service centre .
Software Engineer,Noida,Full Time,Software Development Department,6 Aug 2022,3.0,3.0,4.0,2.0,5.0,3.0,2.0,"1. Work life balance
2. Giving transport and free food","1. No  flexible WFH
2. sometimes bad work life balance
3. strict working hours"
"Regional Distribution Manager, Mobile Biz",Multiple Locations,Full Time,Retail & B2C Sales Department,6 May 2022,2.0,1.0,1.0,3.0,1.0,1.0,1.0,"Very unfortunate such a huge multinational and no job security, everyday you get a fear despite spending any amount of years in organisation, despite very good ratings throughout even more than 10+ years continuously, national recognition periodically,  employee gets Separation notice, and while asking clarification against it seniors @ Sales Head and above doesn't have any clear reason.
No work culture, favoritism while promoting, doing appraisal, or offering any benifits like foreign trips, any awards, these all gets to sales head's likings or dislikings, 
Extremely sad and that's the reason Samsung loosing shares and not a aspiring brand for youngsters or professionals 
Yes it's a big brand and in our country since population is high and demand supply ratio is poor in terms of very high supply in terms of huge manpower is available else no one would have joined this company...Read More","- No job security 
- Favoritism while appraisal
- Priorities to employees who are Favorite to sales head while promotions or giving better opportunities 
- Threatening to employees for job by senior management in open forums 
- Koreans interference alot and.vs their understanding on biz is no where 
- Koreans and senior Indian management has tussle and region employees are in trouble because of this 
- High politics and difficult environment for middle management at regions 
- Last 3 years stock issue
- Poor online and offline balancing for stocks or pricing...Read More"
Production Engineer   (working remotely),,Full Time,Engineering Department,5 Feb 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Teem work and teem leader,Good thinking
Apprentice,"Lucknow, Uttar Pradesh",Full Time,,9 Sep 2022,2.0,2.0,3.0,3.0,3.0,3.0,3.0,That's like Samsung company,Nothing without working this company
Paid Media Campaign Team HQ Gurgaon Sec 43 Golf Course Road,"Gurgaon/Gurugram, Haryana",Full Time,Paid media campaigns team corporate marketing setup Department,7 Jan 2023,1.0,1.0,2.0,1.0,1.0,1.0,1.0,"Food used to be benefit but not after covid.
 the toll this job is taking on mental health is immense!","Understaffed w.r.t work requirements.
Overambitious unrealistic targets, too long working hours. Lack of good working culture, ill treating management. No one guides just needs result. From thin air they need palaces... Forced to work on weekends due to too much work. No compassion to someone falling sick. One becomes psychopath staying here for long under toxic environment"
Senior Chief Designer,"Noida, Uttar Pradesh",,Design Department,3 Nov 2022,4.0,4.0,4.0,3.0,5.0,4.0,3.0,"- Nothing (work or communication) outside office hours.
- Free food + bus","- Little Low pay scales
- Getting a Hike will be challenging"
Sam Sung Product Consultant,Odhav Ahmedabad,,Retail & B2C Sales Department,6 Dec 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's my pleasure to work with Samsung.,Nothing to dislike
Lead Software Engineer,Noida,,Quality Assurance and Testing Department,6 May 2022,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Perks and Facilities for Employess are better compared to other Organizations,"Work culture has to be improved a Lot,Samsung is great company however Indian Higher Management is same from a Decade need a massive change for betterment of Organization"
Area Business Manager,"Mumbai, Maharashtra",Full Time,,5 Jan 2023,5.0,3.0,4.0,5.0,4.0,4.0,4.0,Renumeratio part,Work life balance
Equity Research Analyst,Noida,Full Time,"BFSI, Investments & Trading Department",4 Mar 2023,2.0,3.0,3.0,2.0,1.0,3.0,3.0,Good company for job,Like me samsung
Fridge Tech,"Sriperumbudur, Tamil Nadu",Full Time,,0 Oct 2022,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Like that worked at samsung India,Dislike that worked with about Samsung electronics India
Samsung Product Specialist,"Bhopal, Madhya Pradesh",Full Time,Operations Department,1 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"I love the working culture, Team Support & guidance",Just want Carrie Growth
Assistant Manager,"Noida, Uttar Pradesh",Full Time,Engineering Department,2 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Very good Platform to work with job security,Profile not permanent
Area Sales Executive,"Kadapa, Andhra Pradesh",Full Time,,9 Jan 2023,3.0,3.0,2.0,3.0,2.0,1.0,3.0,No comments,Job Politics
Associate,"Chennai, Tamil Nadu",Full Time,Production Department,2 Nov 2022,5.0,4.0,4.0,3.0,3.0,3.0,3.0,Working culture very well and neet,Nothing
Graduate Engineer,"Noida, Uttar Pradesh",,Business Intelligence & Analytics Department,0 Jan 2023,4.0,4.0,4.0,3.0,4.0,4.0,4.0,It was a great experience working on there.,No it was a great experience
Area Business Manager,Mumbai,,Retail & B2C Sales Department,1 May 2022,5.0,5.0,4.0,4.0,5.0,4.0,4.0,"Work culture is very good, supporting management including HR team",Sometime lot of pressure situation but manageable if you are experienced in same field
Manager-channel Sales,Gurgaon/Gurugram,,Enterprise & B2B Sales Department,1 Mar 2022,4.0,2.0,3.0,5.0,2.0,2.0,2.0,process and system . samsung is strong in process an system which are unshakable and that why make them market leader in terms of scheme and trade transparency.,"There is lack of growth opportunities within the organisation, as people don't move and there is opportunities for an individual to grow vertically or horizontally within the organisation ."
Area Sales Executive,Srinagar,Full Time,Marketing Department,7 Apr 2022,2.0,1.0,2.0,1.0,3.0,2.0,1.0,"Samsung is the best when it comes to innovation, new technologies & features in its products.",The employees are treated as machines who are given any damn task & is expected to complete it. They dont think of an employee as a human being.
Store Manager,Warangal,Part Time,Operations Department,1 May 2022,5.0,3.0,5.0,3.0,2.0,5.0,2.0,Company policy is very good but not growth on job security and salary increment..we are working in local vendor only.we want to the higher position of the job level..,Career growth is very slow..salary is constant only..not a increment as per rules..
